排名,股票代码,股票名称,权重(%),上市状态
1,600519.SH,贵州茅台,6.239,L
2,601318.SH,中国平安,2.496,L
3,600036.SH,招商银行,1.982,L
4,000858.SZ,五粮液,1.567,L
5,000333.SZ,美的集团,1.546,L
6,601166.SH,兴业银行,1.357,L
7,600900.SH,长江电力,1.315,L
8,601899.SH,紫金矿业,1.181,L
9,600030.SH,中信证券,1.144,L
10,002594.SZ,比亚迪,1.033,L
11,300059.SZ,东方财富,1.025,L
12,300760.SZ,迈瑞医疗,1.014,L
13,002475.SZ,立讯精密,0.992,L
14,600887.SH,伊利股份,0.98,L
15,601398.SH,工商银行,0.964,L
16,603259.SH,药明康德,0.86,L
17,000725.SZ,京东方A,0.841,L
18,000651.SZ,格力电器,0.834,L
19,600309.SH,万华化学,0.833,L
20,601012.SH,隆基绿能,0.799,L
21,300124.SZ,汇川技术,0.776,L
22,000568.SZ,泸州老窖,0.76,L
23,002415.SZ,海康威视,0.746,L
24,600919.SH,江苏银行,0.707,L
25,601288.SH,农业银行,0.669,L
26,600809.SH,山西汾酒,0.648,L
27,002714.SZ,牧原股份,0.648,L
28,300498.SZ,温氏股份,0.614,L
29,600028.SH,中国石化,0.611,L
30,688981.SH,中芯国际,0.602,L
