股票代码,股票名称,股票代码_6位,评论日期,评论情绪指标,年报语调
000333.SZ,美的集团,000333,2022-04-25,0.015,
000333.SZ,美的集团,000333,2022-04-26,0.0,
000333.SZ,美的集团,000333,2022-04-27,0.024,
000333.SZ,美的集团,000333,2022-04-28,0.022,
000333.SZ,美的集团,000333,2022-04-29,0.016,
000333.SZ,美的集团,000333,2022-05-05,0.109,0.1171
000333.SZ,美的集团,000333,2022-05-06,0.034,
000333.SZ,美的集团,000333,2022-05-09,0.024,
000333.SZ,美的集团,000333,2022-05-10,-0.061,
000333.SZ,美的集团,000333,2022-05-11,0.0,
000333.SZ,美的集团,000333,2022-05-12,-0.021,
000333.SZ,美的集团,000333,2022-05-13,0.02,
000333.SZ,美的集团,000333,2022-05-16,0.0,
000333.SZ,美的集团,000333,2022-05-17,0.016,
000333.SZ,美的集团,000333,2022-05-18,-0.04,
000333.SZ,美的集团,000333,2022-05-19,0.03,
000333.SZ,美的集团,000333,2022-05-20,0.037,
000333.SZ,美的集团,000333,2023-04-24,0.0,
000333.SZ,美的集团,000333,2023-04-25,0.0,
000333.SZ,美的集团,000333,2023-04-26,0.0,
000333.SZ,美的集团,000333,2023-04-27,0.032,
000333.SZ,美的集团,000333,2023-04-28,0.038,
000333.SZ,美的集团,000333,2023-05-04,0.017,0.1204
000333.SZ,美的集团,000333,2023-05-05,0.044,
000333.SZ,美的集团,000333,2023-05-08,0.0,
000333.SZ,美的集团,000333,2023-05-09,-0.053,
000333.SZ,美的集团,000333,2023-05-10,-0.011,
000333.SZ,美的集团,000333,2023-05-11,0.2,
000333.SZ,美的集团,000333,2023-05-12,-0.067,
000333.SZ,美的集团,000333,2023-05-15,0.031,
000333.SZ,美的集团,000333,2023-05-16,0.013,
000333.SZ,美的集团,000333,2023-05-17,0.0,
000333.SZ,美的集团,000333,2023-05-18,0.044,
000568.SZ,泸州老窖,000568,2022-04-25,0.0,
000568.SZ,泸州老窖,000568,2022-04-26,0.048,
000568.SZ,泸州老窖,000568,2022-04-27,0.056,
000568.SZ,泸州老窖,000568,2022-04-28,0.118,
000568.SZ,泸州老窖,000568,2022-04-29,0.136,0.1212
000568.SZ,泸州老窖,000568,2022-05-05,0.15,
000568.SZ,泸州老窖,000568,2022-05-06,-0.171,
000568.SZ,泸州老窖,000568,2022-05-09,-0.038,
000568.SZ,泸州老窖,000568,2022-05-10,0.0,
000568.SZ,泸州老窖,000568,2022-05-11,0.038,
000568.SZ,泸州老窖,000568,2022-05-12,0.02,
000568.SZ,泸州老窖,000568,2022-05-13,-0.032,
000568.SZ,泸州老窖,000568,2022-05-16,-0.053,
000568.SZ,泸州老窖,000568,2022-05-17,0.0,
000568.SZ,泸州老窖,000568,2022-05-18,-0.076,
000568.SZ,泸州老窖,000568,2023-04-24,0.158,
000568.SZ,泸州老窖,000568,2023-04-25,-0.05,
000568.SZ,泸州老窖,000568,2023-04-26,-0.031,
000568.SZ,泸州老窖,000568,2023-04-27,0.033,
000568.SZ,泸州老窖,000568,2023-04-28,0.028,
000568.SZ,泸州老窖,000568,2023-05-04,0.092,0.1019
000568.SZ,泸州老窖,000568,2023-05-05,0.0,
000568.SZ,泸州老窖,000568,2023-05-08,0.083,
000568.SZ,泸州老窖,000568,2023-05-09,-0.059,
000568.SZ,泸州老窖,000568,2023-05-10,-0.162,
000568.SZ,泸州老窖,000568,2023-05-11,0.022,
000568.SZ,泸州老窖,000568,2023-05-12,-0.054,
000568.SZ,泸州老窖,000568,2023-05-15,0.014,
000568.SZ,泸州老窖,000568,2023-05-16,0.189,
000568.SZ,泸州老窖,000568,2023-05-17,0.069,
000568.SZ,泸州老窖,000568,2023-05-18,0.156,
000651.SZ,格力电器,000651,2022-04-25,-0.079,
000651.SZ,格力电器,000651,2022-04-26,-0.02,
000651.SZ,格力电器,000651,2022-04-27,0.091,
000651.SZ,格力电器,000651,2022-04-28,0.0,
000651.SZ,格力电器,000651,2022-04-29,0.025,
000651.SZ,格力电器,000651,2022-05-05,0.107,0.1041
000651.SZ,格力电器,000651,2022-05-06,0.054,
000651.SZ,格力电器,000651,2022-05-09,0.031,
000651.SZ,格力电器,000651,2022-05-10,0.0,
000651.SZ,格力电器,000651,2022-05-11,0.071,
000651.SZ,格力电器,000651,2022-05-12,0.023,
000651.SZ,格力电器,000651,2022-05-13,0.014,
000651.SZ,格力电器,000651,2022-05-16,0.038,
000651.SZ,格力电器,000651,2022-05-17,0.046,
000651.SZ,格力电器,000651,2022-05-18,0.0,
000651.SZ,格力电器,000651,2023-04-24,0.019,
000651.SZ,格力电器,000651,2023-04-25,-0.062,
000651.SZ,格力电器,000651,2023-04-26,0.176,
000651.SZ,格力电器,000651,2023-04-27,0.132,
000651.SZ,格力电器,000651,2023-04-28,0.029,
000651.SZ,格力电器,000651,2023-05-04,-0.039,0.1243
