股票代码,交易日期,窗口位置,是否事发日,评论情绪指标,年报语调,股票收益率,市场收益率,超额收益率,换手率,市值,市盈率,市净率,成交量,成交金额,期间
600519.SH,2022-03-28,-3,False,0.0,,-1.7278,-0.6254,-1.1024,1.046,208629330.624,44.677,11.9662,57541.64,9392008.017,period_2022
600519.SH,2022-03-29,-2,False,0.02,,0.3733,-0.3452,0.7185,0.4715,209408173.26,44.8438,12.0109,25934.98,4343365.464,period_2022
600519.SH,2022-03-30,-1,False,0.084,,3.7852,2.9016,0.8836,0.7714,217334781.378,46.5412,11.4665,42433.43,7276379.091,period_2022
600519.SH,2022-03-31,0,True,0.04,0.1,-0.6416,-0.7405,0.0989,0.4576,215940401.82,41.1628,11.3929,25173.86,4338022.922,period_2022
600519.SH,2022-04-01,1,False,0.023,,3.5492,1.2684,2.2808,0.8155,223604464.5978,42.6237,11.7973,44861.91,7936957.252,period_2022
600519.SH,2022-04-06,2,False,0.0,,-0.8433,-0.288,-0.5553,0.5057,221718911.7,42.2643,11.6978,27819.77,4910792.426,period_2022
600519.SH,2022-04-07,3,False,0.007,,0.0,-1.2838,1.2838,0.3671,221718911.7,42.2643,11.6978,20195.71,3568182.341,period_2022
600519.SH,2022-04-08,4,False,0.132,,1.0765,0.5148,0.5617,0.417,224105687.52,42.7192,11.8237,22941.32,4081618.543,period_2022
600519.SH,2022-04-11,5,False,-0.035,,-3.5874,-3.0892,-0.4982,0.7974,216066021.6,41.1867,11.3995,43863.59,7568782.591,period_2022
600519.SH,2023-03-28,-3,False,0.035,,0.7925,-0.3231,1.1156,0.3139,223829324.004,42.6665,12.4915,17261.35,3073113.077,period_2023
600519.SH,2023-03-29,-2,False,0.062,,0.4602,0.1658,0.2944,0.2799,224859406.2,42.8629,12.549,15392.99,2761909.333,period_2023
600519.SH,2023-03-30,-1,False,0.048,,0.5587,0.8083,-0.2496,0.3502,226115604.0,43.1024,12.6191,19257.01,3453573.052,period_2023
600519.SH,2023-03-31,0,True,0.024,0.0982,1.1111,0.307,0.8041,0.4991,228627999.6,36.4542,11.5757,27446.33,5024790.356,period_2023
600519.SH,2023-04-03,1,False,0.022,,-0.9852,0.9786,-1.9638,0.3895,226375636.9446,36.0951,11.4617,21417.43,3875811.673,period_2023
600519.SH,2023-04-04,2,False,0.011,,0.6948,0.3065,0.3883,0.3649,227948396.5902,36.3459,11.5413,20066.26,3614275.263,period_2023
600519.SH,2023-04-06,3,False,0.034,,-0.9716,-0.1576,-0.814,0.2705,225733719.8688,35.9927,11.4292,14874.22,2676251.956,period_2023
600519.SH,2023-04-07,4,False,0.071,,-0.3322,0.6503,-0.9825,0.2459,224983769.7822,35.8732,11.3912,13524.68,2428160.574,period_2023
600519.SH,2023-04-10,5,False,0.024,,-1.0771,-0.4479,-0.6292,0.5349,222560564.226,35.4868,11.2685,29418.22,5171150.567,period_2023
601318.SH,2022-03-22,-3,False,-0.032,,1.6156,-0.081,1.6966,0.7519,87379553.9398,8.5988,1.0756,742111.55,3516558.054,period_2022
601318.SH,2022-03-23,-2,False,0.0,,0.2092,0.4987,-0.2895,0.5846,87562356.3539,8.6168,1.0778,577029.18,2748027.97,period_2022
601318.SH,2022-03-24,-1,False,0.167,,0.7307,-0.5895,1.3202,0.6188,88202164.8033,8.6798,1.0857,610757.14,2943276.289,period_2022
601318.SH,2022-03-25,0,True,0.0,0.0889,-1.285,-1.8049,0.5199,0.5673,87068789.8358,8.5682,1.0717,559938.03,2696644.333,period_2022
601318.SH,2022-03-28,1,False,0.0,,0.4619,-0.6254,1.0873,0.3989,87470955.1469,8.6078,1.0767,393686.26,1872940.911,period_2022
601318.SH,2022-03-29,2,False,0.083,,-1.3375,-0.3452,-0.9923,0.3266,86301019.6966,8.4927,1.0623,322356.84,1532063.82,period_2022
601318.SH,2022-03-30,3,False,0.024,,3.1561,2.9016,0.2545,0.583,89024775.6667,8.7607,1.0958,575427.13,2776948.845,period_2022
601318.SH,2022-04-01,4,False,0.25,,1.0526,1.2684,-0.2158,0.4799,89500061.9434,8.8075,1.1017,473676.67,2307234.644,period_2022
601318.SH,2022-04-06,5,False,0.0,,1.1846,-0.288,1.4726,0.6485,90560315.9451,8.9118,1.1147,640052.75,3166678.385,period_2022
601318.SH,2023-04-14,-3,False,0.03,,0.82,0.5657,0.2543,0.4346,83156818.1741,9.9263,0.9684,428919.17,1954054.64,period_2023
601318.SH,2023-04-17,-2,False,0.073,,4.3746,1.4024,2.9722,1.0498,86794586.2147,10.3606,1.0108,1036161.33,4813786.757,period_2023
601318.SH,2023-04-18,-1,False,0.015,,2.401,0.3048,2.0962,1.3275,88878533.7354,10.6093,1.0351,1310275.22,6375510.317,period_2023
601318.SH,2023-04-19,0,True,0.0,0.0877,-0.4525,-0.9004,0.4479,0.5037,88476368.4244,10.5613,1.0304,497164.61,2414735.651,period_2023
601318.SH,2023-04-20,1,False,0.069,,0.8058,-0.2798,1.0856,0.483,89189297.8394,10.6464,1.0387,476734.29,2314705.514,period_2023
601318.SH,2023-04-21,2,False,0.019,,-4.2017,-1.956,-2.2457,0.8227,85441848.3503,10.1991,0.995,811975.65,3837366.387,period_2023
