股票代码,date,total_words,positive_words,negative_words,sentiment_score
000333,2022-04-25,68,3,2,0.015
000333,2022-04-26,34,0,0,0.0
000333,2022-04-27,84,3,1,0.024
000333,2022-04-28,46,1,0,0.022
000333,2022-04-29,62,5,4,0.016
000333,2022-05-05,55,6,0,0.109
000333,2022-05-06,59,4,2,0.034
000333,2022-05-09,84,3,1,0.024
000333,2022-05-10,33,1,3,-0.061
000333,2022-05-11,10,0,0,0.0
000333,2022-05-12,48,0,1,-0.021
000333,2022-05-13,51,1,0,0.02
000333,2022-05-16,7,0,0,0.0
000333,2022-05-17,64,2,1,0.016
000333,2022-05-18,25,0,1,-0.04
000333,2022-05-19,100,4,1,0.03
000333,2022-05-20,27,1,0,0.037
000333,2023-04-24,24,0,0,0.0
000333,2023-04-25,5,0,0,0.0
000333,2023-04-26,13,0,0,0.0
000333,2023-04-27,31,1,0,0.032
000333,2023-04-28,52,5,3,0.038
000333,2023-05-04,117,8,6,0.017
000333,2023-05-05,68,5,2,0.044
000333,2023-05-08,80,3,3,0.0
000333,2023-05-09,38,0,2,-0.053
000333,2023-05-10,88,4,5,-0.011
000333,2023-05-11,25,5,0,0.2
000333,2023-05-12,30,0,2,-0.067
000333,2023-05-15,64,2,0,0.031
000333,2023-05-16,75,4,3,0.013
000333,2023-05-17,60,1,1,0.0
000333,2023-05-18,90,5,1,0.044
000568,2022-04-25,5,0,0,0.0
000568,2022-04-26,63,4,1,0.048
000568,2022-04-27,90,5,0,0.056
000568,2022-04-28,102,12,0,0.118
000568,2022-04-29,66,9,0,0.136
000568,2022-05-05,80,12,0,0.15
000568,2022-05-06,41,0,7,-0.171
000568,2022-05-09,53,2,4,-0.038
000568,2022-05-10,51,2,2,0.0
000568,2022-05-11,26,1,0,0.038
000568,2022-05-12,50,3,2,0.02
000568,2022-05-13,63,2,4,-0.032
000568,2022-05-16,57,2,5,-0.053
000568,2022-05-17,36,1,1,0.0
000568,2022-05-18,132,3,13,-0.076
000568,2023-04-24,19,3,0,0.158
000568,2023-04-25,40,0,2,-0.05
000568,2023-04-26,32,1,2,-0.031
000568,2023-04-27,30,1,0,0.033
000568,2023-04-28,71,3,1,0.028
000568,2023-05-04,65,7,1,0.092
000568,2023-05-05,56,2,2,0.0
000568,2023-05-08,48,5,1,0.083
000568,2023-05-09,17,0,1,-0.059
000568,2023-05-10,37,0,6,-0.162
000568,2023-05-11,46,2,1,0.022
000568,2023-05-12,56,1,4,-0.054
000568,2023-05-15,71,1,0,0.014
000568,2023-05-16,37,7,0,0.189
000568,2023-05-17,58,5,1,0.069
000568,2023-05-18,45,8,1,0.156
000651,2022-04-25,76,2,8,-0.079
000651,2022-04-26,49,2,3,-0.02
000651,2022-04-27,33,3,0,0.091
000651,2022-04-28,94,2,2,0.0
000651,2022-04-29,160,9,5,0.025
000651,2022-05-05,307,39,6,0.107
000651,2022-05-06,129,10,3,0.054
000651,2022-05-09,98,4,1,0.031
000651,2022-05-10,34,2,2,0.0
000651,2022-05-11,113,9,1,0.071
000651,2022-05-12,218,8,3,0.023
000651,2022-05-13,71,4,3,0.014
000651,2022-05-16,80,5,2,0.038
000651,2022-05-17,87,6,2,0.046
000651,2022-05-18,28,0,0,0.0
000651,2023-04-24,54,3,2,0.019
000651,2023-04-25,16,1,2,-0.062
000651,2023-04-26,17,3,0,0.176
000651,2023-04-27,38,6,1,0.132
000651,2023-04-28,35,3,2,0.029
000651,2023-05-04,648,34,59,-0.039
000651,2023-05-05,528,17,43,-0.049
000651,2023-05-08,127,7,8,-0.008
000651,2023-05-09,169,10,9,0.006
000651,2023-05-10,261,8,12,-0.015
000651,2023-05-11,201,9,8,0.005
000651,2023-05-12,221,18,16,0.009
000651,2023-05-15,46,3,1,0.043
000651,2023-05-16,230,9,11,-0.009
000725,2022-03-24,38,1,2,-0.026
000725,2022-03-25,31,1,1,0.0
000725,2022-03-28,28,1,2,-0.036
000725,2022-03-29,26,0,2,-0.077
000725,2022-03-30,92,3,3,0.0
000725,2022-03-31,21,0,0,0.0
000725,2022-04-01,60,4,1,0.05
000725,2022-04-06,71,5,7,-0.028
000725,2022-04-07,33,2,2,0.0
000725,2022-04-08,12,0,0,0.0
000725,2022-04-11,54,1,2,-0.019
000725,2022-04-12,28,3,1,0.071
000725,2022-04-13,44,2,0,0.045
000725,2022-04-14,31,1,0,0.032
000725,2022-04-15,79,6,2,0.051
000725,2023-03-27,22,0,3,-0.136
000725,2023-03-28,53,2,2,0.0
000725,2023-03-29,25,1,3,-0.08
000725,2023-03-31,26,3,0,0.115
000725,2023-04-03,29,2,1,0.034
000725,2023-04-04,31,0,3,-0.097
000725,2023-04-06,4,0,0,0.0
000725,2023-04-07,20,1,2,-0.05
000725,2023-04-10,17,0,1,-0.059
000725,2023-04-11,26,1,2,-0.038
000725,2023-04-12,25,0,1,-0.04
000725,2023-04-13,25,0,1,-0.04
000725,2023-04-14,25,1,2,-0.04
000725,2023-04-17,35,1,0,0.029
000725,2023-04-18,3,1,0,0.333
000725,2023-04-19,35,1,0,0.029
000858,2022-04-22,7,1,1,0.0
000858,2022-04-25,82,5,0,0.061
000858,2022-04-26,135,14,1,0.096
000858,2022-04-27,142,19,2,0.12
000858,2022-04-28,127,12,0,0.094
000858,2022-04-29,214,11,7,0.019
000858,2022-05-05,135,17,1,0.119
000858,2022-05-06,86,13,4,0.105
000858,2022-05-09,157,18,11,0.045
000858,2022-05-10,120,5,8,-0.025
000858,2022-05-11,104,6,6,0.0
000858,2022-05-12,128,10,5,0.039
000858,2022-05-13,37,1,7,-0.162
000858,2022-05-16,98,2,11,-0.092
000858,2022-05-17,89,6,6,0.0
000858,2022-05-18,68,3,4,-0.015
000858,2022-05-19,81,2,7,-0.062
000858,2023-04-24,25,1,2,-0.04
000858,2023-04-25,59,1,1,0.0
000858,2023-04-26,19,1,0,0.053
000858,2023-04-27,15,4,0,0.267
000858,2023-04-28,65,3,0,0.046
000858,2023-05-04,125,10,2,0.064
000858,2023-05-05,105,3,6,-0.029
000858,2023-05-08,41,4,0,0.098
000858,2023-05-09,76,2,1,0.013
000858,2023-05-10,22,1,4,-0.136
000858,2023-05-11,72,5,0,0.069
000858,2023-05-12,70,1,1,0.0
000858,2023-05-15,75,6,0,0.08
000858,2023-05-17,52,4,2,0.038
000858,2023-05-18,36,4,3,0.028
000858,2023-05-19,98,5,2,0.031
002415,2022-04-11,14,0,2,-0.143
002415,2022-04-12,43,7,1,0.14
002415,2022-04-13,9,0,0,0.0
002415,2022-04-15,28,3,0,0.107
002415,2022-04-18,84,8,1,0.083
002415,2022-04-19,19,0,1,-0.053
002415,2022-04-20,37,4,1,0.081
002415,2022-04-21,46,1,0,0.022
002415,2022-04-22,33,0,6,-0.182
